"Price","Name","Item Level","Owned?","Available"
61899,"Potion of the Jade Serpent",90,"",5339
1388,"Crystal Vial",1,"",1110
20146,"Green Tea Leaf",85,"",8714
51198,"Silkweed",86,"",3107
49599,"Virmen's Bite",90,"",4873
21183,"Snow Lily",87,"",2306
779999,"Flask of the Warm Sun",90,"",661
1101196,"Golden Lotus",90,"",2321
660000,"Flask of Spring Blossoms",90,"",565
1889399,"Greater Crane Wing Inscription",90,"",65
58993,"Ink of Dreams",86,"",1471
29300,"Shadow Pigment",86,"",858
21171,"Rain Poppy",85,"",3576
299900,"Misty Pigment",86,"",91
10400,"Light Parchment",1,"",531
1749191,"Greater Tiger Claw Inscription",90,"",62
3009993,"Greater Cerulean Spellthread",90,"",111
79999,"Bolt of Windwool Cloth",90,"",2902
15803,"Windwool Cloth",86,"",6593
3899979,"Greater Pearlescent Spellthread",90,"",43
154204,"Glyph of Unstable Affliction",25,"",80
49400,"Ink of the Sea",70,"",240
19300,"Azure Pigment",70,"",157
9375,"Tiger Lily",72,"",407
189999,"Glyph of Arcane Power",25,"",35
27600,"Nether Pigment",60,"",6
8900,"Felweed",60,"",2611
227298,"Glyph of Animal Bond",25,"",28
149800,"Glyph of Deterrence",25,"",95
34500,"Celestial Ink",40,"",13
30000,"Violet Pigment",40,"",1
7219,"Firebloom",41,"",1051
570189,"Glyph of Spinning Crane Kick",25,"",60
90000,"Glyph of Touch of Karma",25,"",59
100000,"Glyph of Zen Meditation",25,"",98
17600,"Jadefire Ink",30,"",307
13000,"Emerald Pigment",30,"",80
2529,"Fadeleaf",32,"",3858
357945,"Glyph of Penance",25,"",50
209000,"Glyph of Holy Fire",25,"",55
8800,"Midnight Ink",10,"",131
9998,"Dusky Pigment",10,"",26
99875,"Glyph of Smite",25,"",43
99500,"Glyph of Savagery",25,"",25
14500,"Lion's Ink",20,"",114
16999,"Golden Pigment",20,"",5
4597,"Liferoot",30,"",1692
69998,"Glyph of Shred",25,"",55
391489,"Glyph of Siphon Life",25,"",102
307098,"Glyph of Soulstone",25,"",65
312300,"Glyph of Rapid Displacement",25,"",58
146699,"Glyph of Arcane Explosion",25,"",15
146932,"Glyph of Cone of Cold",25,"",26
