"Price","Name","Item Level","Owned?","Available"
66979999,"Belt of the Night Sky (553)",553,"",10
84571,"Bolt of Windwool Cloth",90,"",3055
15844,"Windwool Cloth",86,"",5741
2049700,"Spirit of War",90,"",525
57770000,"Leggings of the Night Sky (553)",553,"",19
64906,"Potion of the Jade Serpent",90,"",20243
4900,"Crystal Vial",1,"",869
4559,"Green Tea Leaf",85,"",73147
28895,"Silkweed",86,"",9660
29997,"Virmen's Bite",90,"",8501
4559,"Snow Lily",87,"",12834
920000,"Flask of the Warm Sun",90,"",1060
989999,"Golden Lotus",90,"",3055
919999,"Flask of Spring Blossoms",90,"",844
1919993,"Greater Crane Wing Inscription",90,"",258
581303,"Starlight Ink",86,"",87
42400,"Ink of Dreams",86,"",1282
19996,"Shadow Pigment",86,"",296
4559,"Rain Poppy",85,"",16078
7219,"Fool's Cap",88,"",8629
309972,"Misty Pigment",86,"",43
300,"Light Parchment",1,"",1462
1659789,"Greater Tiger Claw Inscription",90,"",159
3496964,"Greater Cerulean Spellthread",90,"",97
2249999,"Greater Pearlescent Spellthread",90,"",42
368351,"Glyph of Unstable Affliction",25,"",19
42305,"Ink of the Sea",70,"",216
25483,"Azure Pigment",70,"",2328
18896,"Goldclover",72,"",1269
999,"Tiger Lily",72,"",495
5900,"Talandra's Rose",72,"",861
1796,"Adder's Tongue",77,"",1332
18898,"Lichbloom",80,"",756
27299,"Icethorn",80,"",681
1199,"Deadnettle",72,"",1637
3500,"Fire Leaf",75,"",181
244400,"Glyph of Arcane Power",25,"",22
49800,"Ethereal Ink",60,"",80
590000000,"Nether Pigment",60,"",2
1699,"Felweed",60,"",824
14999,"Dreaming Glory",60,"",570
7925,"Ragveil",65,"",591
30000,"Terocone",60,"",576
19897,"Ancient Lichen",68,"",632
70000,"Netherbloom",70,"",365
169800,"Nightmare Vine",70,"",908
9999,"Mana Thistle",70,"",224
630100,"Glyph of Animal Bond",25,"",30
350000,"Glyph of Deterrence",25,"",47
30000,"Celestial Ink",40,"",50
29999,"Violet Pigment",40,"",306
1000,"Firebloom",41,"",735
339900,"Purple Lotus",42,"",304
559900,"Arthas' Tears",44,"",196
1750,"Sungrass",46,"",1602
10438,"Blindweed",47,"",1329
222000,"Ghost Mushroom",47,"",300
69900,"Gromsblood",50,"",1043
289700,"Glyph of Spinning Crane Kick",25,"",30
77480,"Glyph of Touch of Karma",25,"",2
296894,"Glyph of Zen Meditation",25,"",67
9900,"Jadefire Ink",30,"",453
29499,"Emerald Pigment",30,"",1531
776,"Fadeleaf",32,"",2579
64167,"Goldthorn",34,"",1221
799,"Khadgar's Whisker",37,"",4468
6500,"Dragon's Teeth",39,"",781
478096,"Glyph of Penance",25,"",24
389200,"Glyph of Holy Fire",25,"",21
10000,"Midnight Ink",10,"",854
7399,"Dusky Pigment",10,"",766
1498,"Mageroyal",10,"",2615
8299,"Briarthorn",15,"",2209
2967,"Swiftthistle",15,"",2159
399,"Bruiseweed",20,"",1500
7399,"Stranglekelp",20,"",512
600000,"Glyph of Smite",25,"",4
290000,"Glyph of Savagery",25,"",33
5699,"Lion's Ink",20,"",464
7000,"Golden Pigment",20,"",2103
1500,"Wild Steelbloom",22,"",932
27500,"Grave Moss",22,"",3
379,"Kingsblood",24,"",4843
759,"Liferoot",30,"",713
89799,"Glyph of Shred",25,"",3
700000,"Glyph of Siphon Life",25,"",5
60000,"Glyph of Soulstone",25,"",24
427388,"Glyph of Rapid Displacement",25,"",39
39998,"Glyph of Arcane Explosion",25,"",8
150000,"Glyph of Cone of Cold",25,"",44
215000,"Glyph of Pathfinding",25,"",17
386192,"Glyph of Liberation",25,"",23
200000,"Glyph of Touch of Death",25,"",16
387799,"Glyph of Prayer of Mending",25,"",26
310000,"Glyph of Dash",25,"",53
146930,"Glyph of Healing Touch",25,"",2
60000,"Glyph of Rebirth",25,"",10
90995,"Cerulean Spellthread",90,"",17
50000,"Pearlescent Spellthread",90,"",68
42722,"Potion of Mogu Power",90,"",5691
790000,"Flask of Winter's Bite",90,"",105
1750000,"Greater Tiger Fang Inscription",90,"",368
944499,"Flask of the Earth",90,"",112
8999,"Potion of the Mountains",90,"",701
1499798,"Greater Ox Horn Inscription",90,"",67
5499997,"Living Steel",88,"",600
997799,"Trillium Bar",90,"",3280
111999,"Ghost Iron Bar",86,"",9983
5979999,"Primal Diamond",90,"",411
899898,"Wild Jade",90,"",437
19800,"Alexandrite",87,"",1876
1649999,"Vermilion Onyx",90,"",678
409800,"Tiger Opal",87,"",1508
1299225,"Imperial Amethyst",90,"",301
18800,"Roguestone",87,"",2810
830000,"Primordial Ruby",90,"",350
59985,"Pandarian Garnet",87,"",3617
49994,"River's Heart",90,"",390
10000,"Lapis Lazuli",87,"",2996
829909,"Sun's Radiance",90,"",428
64685,"Sunstone",87,"",2639
179900,"Great Pandaren Banquet",90,"",154
144996,"100 Year Soy Sauce",85,"",633
44000,"Jewel Danio",87,"",5735
11019,"Raw Tiger Steak",85,"",5326
17486,"Pink Turnip",85,"",4014
1370000,"Pandaren Treasure Noodle Cart Kit",90,"",1387
289998,"Black Pepper Ribs and Shrimp",90,"",1579
359994,"Black Pepper",85,"",1046
176100,"Giant Mantis Shrimp",87,"",1155
22200,"Mushan Ribs",85,"",5722
19900,"Green Cabbage",85,"",9673
409897,"Chun Tian Spring Rolls",90,"",960
369999,"Rice Flour",85,"",88
103499,"Redbelly Mandarin",87,"",962
28799,"Red Blossom Leek",85,"",2017
239991,"Mogu Fish Stew",90,"",1805
113550,"Emperor Salmon",87,"",2598
48600,"Raw Crocolisk Belly",85,"",9744
9499,"Mogu Pumpkin",85,"",1063
93899,"Steamed Crab Surprise",90,"",440
16975,"Raw Crab Meat",85,"",1633
21790,"White Turnip",85,"",5286
304894,"Sea Mist Rice Noodles",90,"",3775
95000,"Tiger Gourami",87,"",1242
9119,"Raw Turtle Meat",85,"",5966
19899,"Scallions",85,"",6889
167408,"Mad Brewer's Breakfast",90,"",350
99999,"Pandaren Banquet",90,"",647
50000,"Ancient Pandaren Spices",85,"",640
300000,"Seasoned Pomfruit Slices",90,"",57
300000,"Fluffy Silkfeather Omelet",90,"",8
7495,"Aged Mogu'shan Cheese",85,"",101
209990,"Farmer's Delight",90,"",4
49999,"Aged Balsamic Vinegar",85,"",260
299999,"Stuffed Lushrooms",90,"",23
372998999,"Vial of the Sands",85,"",6
3458100,"Truegold",85,"",226
109900,"Pyrium Bar",85,"",718
98000,"Volatile Fire",83,"",1264
80000,"Volatile Air",83,"",3373
162000,"Volatile Water",83,"",2243
1799999,"Flask of the Winds",85,"",65
9982,"Whiptail",84,"",315
124498,"Azshara's Veil",82,"",675
30800,"Volatile Life",83,"",1062
420000,"Flask of Titanic Strength",85,"",152
9999,"Cinderbloom",81,"",4099
700000,"Deepstone Oil",81,"",470
720000,"Albino Cavefish",81,"",381
19799893,"Illusionary Bag",83,"",25
79995,"Bolt of Embersilk Cloth",81,"",333
13300,"Embersilk Cloth",81,"",9283
