"Price","Name","Item Level","Owned?","Available"
57994,"Potion of the Jade Serpent",90,"",5347
181,"Crystal Vial",1,"",1068
12697,"Green Tea Leaf",85,"",16318
20690,"Silkweed",86,"",7676
54286,"Virmen's Bite",90,"",6739
29897,"Snow Lily",87,"",2278
920000,"Flask of the Warm Sun",90,"",817
977695,"Golden Lotus",90,"",1544
730000,"Flask of Spring Blossoms",90,"",497
1819894,"Greater Crane Wing Inscription",90,"",29
539599,"Starlight Ink",86,"",1868
67996,"Ink of Dreams",86,"",6479
29688,"Shadow Pigment",86,"",227
13495,"Rain Poppy",85,"",3198
22793,"Fool's Cap",88,"",8736
296594,"Misty Pigment",86,"",322
599,"Light Parchment",1,"",1042
1799573,"Greater Tiger Claw Inscription",90,"",242
1599899,"Greater Cerulean Spellthread",90,"",74
100000,"Bolt of Windwool Cloth",90,"",2438
19999,"Windwool Cloth",86,"",4643
2750000,"Greater Pearlescent Spellthread",90,"",32
369981,"Glyph of Unstable Affliction",25,"",36
80000,"Ink of the Sea",70,"",1849
19899,"Azure Pigment",70,"",127
5499,"Goldclover",72,"",1323
6498,"Tiger Lily",72,"",1514
2659,"Talandra's Rose",72,"",332
7998,"Adder's Tongue",77,"",101
8999,"Lichbloom",80,"",159
29899,"Icethorn",80,"",158
6999,"Deadnettle",72,"",952
1899,"Fire Leaf",75,"",127
498200,"Glyph of Arcane Power",25,"",38
63286,"Ethereal Ink",60,"",97
29471,"Nether Pigment",60,"",960
5785,"Felweed",60,"",1370
6498,"Dreaming Glory",60,"",2312
7599,"Ragveil",65,"",999
7599,"Terocone",60,"",1961
7889,"Ancient Lichen",68,"",446
44097,"Netherbloom",70,"",348
64098,"Nightmare Vine",70,"",819
9995,"Mana Thistle",70,"",605
448300,"Glyph of Animal Bond",25,"",66
259391,"Glyph of Deterrence",25,"",37
39899,"Celestial Ink",40,"",176
8900,"Violet Pigment",40,"",87
2800,"Firebloom",41,"",830
65121,"Purple Lotus",42,"",151
189898,"Arthas' Tears",44,"",40
3599,"Sungrass",46,"",2640
23999,"Blindweed",47,"",695
289899,"Ghost Mushroom",47,"",531
23559,"Gromsblood",50,"",1052
202259,"Glyph of Spinning Crane Kick",25,"",56
257197,"Glyph of Touch of Karma",25,"",95
50000,"Glyph of Zen Meditation",25,"",63
20396,"Jadefire Ink",30,"",126
3039,"Emerald Pigment",30,"",569
5350,"Fadeleaf",32,"",672
42559,"Goldthorn",34,"",789
490,"Khadgar's Whisker",37,"",4451
2200,"Dragon's Teeth",39,"",441
198596,"Glyph of Penance",25,"",18
269795,"Glyph of Holy Fire",25,"",39
14503,"Midnight Ink",10,"",300
7700,"Dusky Pigment",10,"",228
1900,"Mageroyal",10,"",471
7700,"Briarthorn",15,"",1519
8700,"Swiftthistle",15,"",669
1748,"Bruiseweed",20,"",840
1899,"Stranglekelp",20,"",104
113696,"Glyph of Smite",25,"",40
129998,"Glyph of Savagery",25,"",34
51500,"Lion's Ink",20,"",115
8897,"Golden Pigment",20,"",203
4016,"Wild Steelbloom",22,"",537
4939,"Grave Moss",22,"",265
759,"Kingsblood",24,"",5721
3400,"Liferoot",30,"",278
138978,"Glyph of Shred",25,"",45
154400,"Glyph of Siphon Life",25,"",58
79997,"Glyph of Soulstone",25,"",48
546300,"Glyph of Rapid Displacement",25,"",24
959700,"Glyph of Arcane Explosion",25,"",49
233300,"Glyph of Cone of Cold",25,"",57
179997,"Glyph of Pathfinding",25,"",41
387900,"Glyph of Liberation",25,"",53
110000,"Glyph of Touch of Death",25,"",68
328691,"Glyph of Prayer of Mending",25,"",39
259995,"Glyph of Dash",25,"",60
999890,"Glyph of Healing Touch",25,"",52
250000,"Glyph of Rebirth",25,"",32
29971,"Cerulean Spellthread",90,"",41
29889,"Pearlescent Spellthread",90,"",35
49809,"Potion of Mogu Power",90,"",3283
770000,"Flask of Winter's Bite",90,"",495
1749275,"Greater Tiger Fang Inscription",90,"",213
599000,"Flask of the Earth",90,"",288
32882,"Potion of the Mountains",90,"",621
1499900,"Greater Ox Horn Inscription",90,"",175
5399897,"Living Steel",88,"",262
1299999,"Trillium Bar",90,"",1725
109800,"Ghost Iron Bar",86,"",12248
9989999,"Primal Diamond",90,"",315
1499897,"Wild Jade",90,"",177
35000,"Alexandrite",87,"",859
1899995,"Vermilion Onyx",90,"",99
799999,"Tiger Opal",87,"",66
979999,"Imperial Amethyst",90,"",227
74884,"Roguestone",87,"",2989
729877,"Primordial Ruby",90,"",426
39999,"Pandarian Garnet",87,"",1297
99991,"River's Heart",90,"",133
10975,"Lapis Lazuli",87,"",3053
757696,"Sun's Radiance",90,"",64
78899,"Sunstone",87,"",232
149884,"Great Pandaren Banquet",90,"",1296
500000,"100 Year Soy Sauce",85,"",461
65298,"Jewel Danio",87,"",7993
39997,"Raw Tiger Steak",85,"",13332
21996,"Pink Turnip",85,"",8307
1840000,"Pandaren Treasure Noodle Cart Kit",90,"",767
445341,"Black Pepper Ribs and Shrimp",90,"",3706
1514692,"Black Pepper",85,"",700
109997,"Giant Mantis Shrimp",87,"",1206
75500,"Mushan Ribs",85,"",1015
32298,"Green Cabbage",85,"",4557
270000,"Chun Tian Spring Rolls",90,"",576
1244490,"Rice Flour",85,"",660
100000,"Redbelly Mandarin",87,"",472
50296,"Red Blossom Leek",85,"",3660
449954,"Mogu Fish Stew",90,"",5015
120000,"Emperor Salmon",87,"",5041
99998,"Raw Crocolisk Belly",85,"",3423
34997,"Mogu Pumpkin",85,"",6377
109799,"Steamed Crab Surprise",90,"",2098
49199,"Raw Crab Meat",85,"",3338
89994,"White Turnip",85,"",4172
490000,"Sea Mist Rice Noodles",90,"",3937
240000,"Tiger Gourami",87,"",2920
43692,"Raw Turtle Meat",85,"",6741
44697,"Scallions",85,"",4213
137900,"Mad Brewer's Breakfast",90,"",1210
130000,"Pandaren Banquet",90,"",542
500000,"Spiced Blossom Soup",90,"",38
72200,"Ancient Pandaren Spices",85,"",449
367725,"Seasoned Pomfruit Slices",90,"",234
450000,"Fluffy Silkfeather Omelet",90,"",3
9089,"Aged Mogu'shan Cheese",85,"",282
240000,"Farmer's Delight",90,"",13
9891,"Aged Balsamic Vinegar",85,"",240
550000,"Stuffed Lushrooms",90,"",25
379999381,"Vial of the Sands",85,"",10
3890000,"Truegold",85,"",436
69998,"Pyrium Bar",85,"",2079
70500,"Volatile Fire",83,"",568
81100,"Volatile Air",83,"",2594
30779,"Volatile Water",83,"",1960
1009998,"Flask of the Winds",85,"",202
21499,"Whiptail",84,"",1131
