"Price","Name","Item Level","Owned?","Available"
25499999,"Belt of the Night Sky (553)",553,"",11
78999,"Bolt of Windwool Cloth",90,"",1418
15055,"Windwool Cloth",86,"",18719
929696,"Spirit of War",90,"",133
51118999,"Leggings of the Night Sky (553)",553,"",17
33500,"Potion of the Jade Serpent",90,"",7030
1999,"Crystal Vial",1,"",573
6666,"Green Tea Leaf",85,"",29217
10111,"Silkweed",86,"",7891
32662,"Virmen's Bite",90,"",1808
12052,"Snow Lily",87,"",4804
796989,"Flask of the Warm Sun",90,"",763
764466,"Golden Lotus",90,"",1770
738999,"Flask of Spring Blossoms",90,"",470
1299895,"Greater Crane Wing Inscription",90,"",196
489614,"Starlight Ink",86,"",1185
30403,"Ink of Dreams",86,"",1127
3300,"Shadow Pigment",86,"",1228
7272,"Rain Poppy",85,"",16137
8988,"Fool's Cap",88,"",4940
199985,"Misty Pigment",86,"",14
389,"Light Parchment",1,"",1535
1959894,"Greater Tiger Claw Inscription",90,"",144
1604499,"Greater Cerulean Spellthread",90,"",61
2239991,"Greater Pearlescent Spellthread",90,"",37
549354,"Glyph of Unstable Affliction",25,"",39
59894,"Ink of the Sea",70,"",46
28895,"Azure Pigment",70,"",265
7400,"Goldclover",72,"",576
5000,"Tiger Lily",72,"",942
6100,"Talandra's Rose",72,"",617
5400,"Adder's Tongue",77,"",569
8400,"Lichbloom",80,"",895
9800,"Icethorn",80,"",415
4900,"Deadnettle",72,"",844
1900,"Fire Leaf",75,"",94
489994,"Glyph of Arcane Power",25,"",41
299499,"Ethereal Ink",60,"",112
30080,"Nether Pigment",60,"",65
18099,"Felweed",60,"",1214
5000,"Dreaming Glory",60,"",792
9098,"Ragveil",65,"",338
5000,"Terocone",60,"",439
8997,"Ancient Lichen",68,"",646
49900,"Netherbloom",70,"",244
55052,"Nightmare Vine",70,"",412
8000,"Mana Thistle",70,"",255
349999,"Glyph of Animal Bond",25,"",36
349999,"Glyph of Deterrence",25,"",51
50098,"Celestial Ink",40,"",2
20096,"Violet Pigment",40,"",38
12499,"Firebloom",41,"",1399
139999,"Purple Lotus",42,"",340
9900,"Arthas' Tears",44,"",291
2000,"Sungrass",46,"",2051
9699,"Blindweed",47,"",536
29900,"Ghost Mushroom",47,"",227
84899,"Gromsblood",50,"",515
299690,"Glyph of Spinning Crane Kick",25,"",40
120000,"Glyph of Touch of Karma",25,"",40
79999,"Glyph of Zen Meditation",25,"",50
12800,"Jadefire Ink",30,"",51
4581,"Emerald Pigment",30,"",233
1900,"Fadeleaf",32,"",821
59000,"Goldthorn",34,"",367
3799,"Khadgar's Whisker",37,"",2732
1499,"Dragon's Teeth",39,"",280
299171,"Glyph of Penance",25,"",25
299788,"Glyph of Holy Fire",25,"",64
37400,"Midnight Ink",10,"",148
9198,"Dusky Pigment",10,"",198
295,"Mageroyal",10,"",1139
5300,"Briarthorn",15,"",570
19500,"Swiftthistle",15,"",171
3400,"Bruiseweed",20,"",1272
8198,"Stranglekelp",20,"",491
70000,"Glyph of Smite",25,"",44
77000,"Glyph of Savagery",25,"",20
20000,"Lion's Ink",20,"",31
240099,"Golden Pigment",20,"",25
7300,"Wild Steelbloom",22,"",677
39000,"Grave Moss",22,"",107
6900,"Kingsblood",24,"",2934
2200,"Liferoot",30,"",792
146499,"Glyph of Shred",25,"",59
389999,"Glyph of Siphon Life",25,"",53
64699,"Glyph of Soulstone",25,"",87
225983,"Glyph of Rapid Displacement",25,"",34
59999,"Glyph of Arcane Explosion",25,"",26
439998,"Glyph of Cone of Cold",25,"",51
188999,"Glyph of Pathfinding",25,"",32
598594,"Glyph of Liberation",25,"",46
80000,"Glyph of Touch of Death",25,"",51
350000,"Glyph of Prayer of Mending",25,"",36
187190,"Glyph of Dash",25,"",46
59999,"Glyph of Healing Touch",25,"",19
80000,"Glyph of Rebirth",25,"",53
85000,"Cerulean Spellthread",90,"",14
480989900,"Pearlescent Spellthread",90,"",10
36608,"Potion of Mogu Power",90,"",9704
749500,"Flask of Winter's Bite",90,"",712
1556542,"Greater Tiger Fang Inscription",90,"",148
757000,"Flask of the Earth",90,"",93
8890,"Potion of the Mountains",90,"",382
989984,"Greater Ox Horn Inscription",90,"",125
5189996,"Living Steel",88,"",700
741993,"Trillium Bar",90,"",4093
71999,"Ghost Iron Bar",86,"",17215
4199974,"Primal Diamond",90,"",630
759816,"Wild Jade",90,"",846
59999,"Alexandrite",87,"",573
1023300,"Vermilion Onyx",90,"",269
299996,"Tiger Opal",87,"",46
791122,"Imperial Amethyst",90,"",749
48499,"Roguestone",87,"",1321
800000,"Primordial Ruby",90,"",402
63396,"Pandarian Garnet",87,"",1132
45148,"River's Heart",90,"",102
8899,"Lapis Lazuli",87,"",1090
699882,"Sun's Radiance",90,"",528
79979,"Sunstone",87,"",257
170139,"Great Pandaren Banquet",90,"",343
970099,"100 Year Soy Sauce",85,"",652
19895,"Jewel Danio",87,"",11998
11111,"Raw Tiger Steak",85,"",2467
39299,"Pink Turnip",85,"",2108
1139700,"Pandaren Treasure Noodle Cart Kit",90,"",281
238500,"Black Pepper Ribs and Shrimp",90,"",1614
289799,"Black Pepper",85,"",406
100000,"Giant Mantis Shrimp",87,"",2053
38000,"Mushan Ribs",85,"",1446
44998,"Green Cabbage",85,"",2966
342199,"Chun Tian Spring Rolls",90,"",355
240000,"Rice Flour",85,"",264
88880,"Redbelly Mandarin",87,"",1945
19998,"Red Blossom Leek",85,"",2543
214395,"Mogu Fish Stew",90,"",2008
62493,"Emperor Salmon",87,"",3825
39398,"Raw Crocolisk Belly",85,"",6221
24897,"Mogu Pumpkin",85,"",4320
89996,"Steamed Crab Surprise",90,"",390
12392,"Raw Crab Meat",85,"",1056
28499,"White Turnip",85,"",979
179998,"Sea Mist Rice Noodles",90,"",1738
139995,"Tiger Gourami",87,"",1347
12198,"Raw Turtle Meat",85,"",4276
17796,"Scallions",85,"",4228
100000,"Mad Brewer's Breakfast",90,"",236
95099,"Pandaren Banquet",90,"",802
325500,"Spiced Blossom Soup",90,"",3
56996,"Ancient Pandaren Spices",85,"",713
800000,"Seasoned Pomfruit Slices",90,"",79
6600,"Aged Mogu'shan Cheese",85,"",180
150000,"Farmer's Delight",90,"",60
7298,"Aged Balsamic Vinegar",85,"",213
391194593,"Vial of the Sands",85,"",3
4556200,"Truegold",85,"",108
79789,"Pyrium Bar",85,"",968
100010,"Volatile Fire",83,"",1337
89253,"Volatile Air",83,"",4199
120000,"Volatile Water",83,"",3532
6000000,"Flask of the Winds",85,"",19
99999,"Whiptail",84,"",1203
119800,"Azshara's Veil",82,"",572
150000,"Volatile Life",83,"",2259
2999999,"Flask of Titanic Strength",85,"",82
9500,"Cinderbloom",81,"",1405
120000,"Deepstone Oil",81,"",224
199999,"Albino Cavefish",81,"",286
24889798,"Illusionary Bag",83,"",33
129999,"Bolt of Embersilk Cloth",81,"",37
38500,"Embersilk Cloth",81,"",11954
18094,"Volatile Earth",83,"",1014
659898,"Chaos Orb",85,"",157
2149898,"Embersilk Bag",83,"",202
70000,"Hypnotic Dust",81,"",3304
68888,"Netherweave Bag",63,"",241
17444,"Bolt of Netherweave",60,"",1125
2488,"Netherweave Cloth",60,"",6054
5999,"Rune Thread",50,"",409
1649998,"Frostweave Bag",80,"",107
463452,"Bolt of Imbued Frostweave",75,"",55
128899,"Bolt of Frostweave",70,"",668
24999,"Frostweave Cloth",70,"",3303
29996,"Infinite Dust",70,"",13917
17500,"Eternium Thread",70,"",455
4979992,"Glacial Bag",80,"",7
