"Price","Name","Item Level","Owned?","Available"
67674,"Potion of the Jade Serpent",90,"",7201
187,"Crystal Vial",1,"",3949
19800,"Green Tea Leaf",85,"",5720
31999,"Silkweed",86,"",20344
57000,"Virmen's Bite",90,"",7910
20000,"Snow Lily",87,"",9076
699798,"Flask of the Warm Sun",90,"",2854
700000,"Golden Lotus",90,"",2977
714891,"Flask of Spring Blossoms",90,"",1348
2495566,"Greater Crane Wing Inscription",90,"Yes",149
449900,"Starlight Ink",86,"",2029
43199,"Ink of Dreams",86,"",6171
279983,"Misty Pigment",86,"",45
21990,"Fool's Cap",88,"",7345
600,"Light Parchment",1,"",707
2495063,"Greater Tiger Claw Inscription",90,"Yes",155
3589996,"Greater Cerulean Spellthread",90,"Yes",18
90000,"Bolt of Windwool Cloth",90,"",1462
14000,"Windwool Cloth",86,"",4361
3589888,"Greater Pearlescent Spellthread",90,"Yes",38
140000,"Glyph of Unstable Affliction",25,"",47
79999,"Ink of the Sea",70,"",125
19994,"Azure Pigment",70,"",78
13668,"Goldclover",72,"",289
22567,"Tiger Lily",72,"",565
14097,"Talandra's Rose",72,"",601
49899,"Adder's Tongue",77,"",664
24221,"Lichbloom",80,"",786
11100,"Icethorn",80,"",137
125500,"Deadnettle",72,"",40
34039,"Fire Leaf",75,"",51
989999,"Glyph of Arcane Power",25,"Yes",13
20000,"Nether Pigment",60,"",260
4000,"Felweed",60,"",2787
3589,"Dreaming Glory",60,"",2426
7899,"Ragveil",65,"",427
4000,"Terocone",60,"",785
4400,"Ancient Lichen",68,"",262
99999,"Netherbloom",70,"",335
296598,"Nightmare Vine",70,"",733
7000,"Mana Thistle",70,"",611
50000,"Glyph of Animal Bond",25,"",55
199899,"Glyph of Deterrence",25,"",34
10000,"Violet Pigment",40,"",216
1139,"Firebloom",41,"",1950
29899,"Purple Lotus",42,"",403
549999,"Arthas' Tears",44,"",231
3999,"Sungrass",46,"",2548
10000,"Blindweed",47,"",734
144989,"Ghost Mushroom",47,"",407
30000,"Gromsblood",50,"",62
148090,"Glyph of Spinning Crane Kick",25,"",33
46933,"Glyph of Touch of Karma",25,"",38
46933,"Glyph of Zen Meditation",25,"",28
18800,"Jadefire Ink",30,"",28
379076,"Glyph of Penance",25,"",25
199699,"Glyph of Holy Fire",25,"",11
2000,"Dusky Pigment",10,"",319
900,"Mageroyal",10,"",5300
14000,"Briarthorn",15,"",1071
9900,"Swiftthistle",15,"",280
950,"Bruiseweed",20,"",3967
4300,"Stranglekelp",20,"",1201
129598,"Glyph of Smite",25,"",40
139897,"Glyph of Savagery",25,"",43
30000,"Lion's Ink",20,"",22
59998,"Glyph of Shred",25,"",79
140000,"Glyph of Siphon Life",25,"",42
326588,"Glyph of Soulstone",25,"",117
540000,"Glyph of Rapid Displacement",25,"",45
50000,"Glyph of Arcane Explosion",25,"",21
91726,"Glyph of Cone of Cold",25,"",27
130000,"Glyph of Pathfinding",25,"",24
146932,"Glyph of Liberation",25,"",37
20000,"Glyph of Touch of Death",25,"",49
149196,"Glyph of Prayer of Mending",25,"",12
110000,"Glyph of Dash",25,"",24
88300,"Glyph of Healing Touch",25,"",16
79999,"Glyph of Rebirth",25,"",19
27496,"Cerulean Spellthread",90,"",30
24000,"Pearlescent Spellthread",90,"",22
44000,"Potion of Mogu Power",90,"",3401
