"Price","Name","Item Level","Owned?","Available"
61546,"Potion of the Jade Serpent",90,"",4335
399,"Crystal Vial",1,"",4257
12000,"Green Tea Leaf",85,"",6618
25000,"Silkweed",86,"",6170
52082,"Virmen's Bite",90,"",5451
14999,"Snow Lily",87,"",3328
749692,"Flask of the Warm Sun",90,"",1357
788593,"Golden Lotus",90,"",975
696969,"Flask of Spring Blossoms",90,"",1122
1777576,"Greater Crane Wing Inscription",90,"",112
550000,"Starlight Ink",86,"",2532
997,"Light Parchment",1,"",1171
1299798,"Greater Tiger Claw Inscription",90,"",83
2239999,"Greater Cerulean Spellthread",90,"",126
83804,"Bolt of Windwool Cloth",90,"",1021
5000,"Windwool Cloth",86,"",6171
2499886,"Greater Pearlescent Spellthread",90,"",38
159998,"Glyph of Unstable Affliction",25,"",51
49999,"Ink of the Sea",70,"",221
31999,"Ink of Dreams",86,"",4500
139999,"Glyph of Arcane Power",25,"",18
299898,"Glyph of Animal Bond",25,"",73
279192,"Glyph of Deterrence",25,"",63
42846,"Celestial Ink",40,"",101
149398,"Glyph of Spinning Crane Kick",25,"",52
59899,"Glyph of Touch of Karma",25,"",47
146531,"Glyph of Zen Meditation",25,"",38
59998,"Jadefire Ink",30,"",88
386580,"Glyph of Penance",25,"",26
199800,"Glyph of Holy Fire",25,"",31
39998,"Midnight Ink",10,"",423
239495,"Glyph of Smite",25,"",45
315049,"Glyph of Savagery",25,"",78
49999,"Lion's Ink",20,"",21
79897,"Glyph of Shred",25,"",43
120000,"Glyph of Siphon Life",25,"",62
1059898,"Glyph of Soulstone",25,"",83
583193,"Glyph of Rapid Displacement",25,"",44
100000,"Glyph of Arcane Explosion",25,"",30
100016,"Glyph of Cone of Cold",25,"",43
159693,"Glyph of Pathfinding",25,"",45
146231,"Glyph of Liberation",25,"",55
49000,"Glyph of Touch of Death",25,"",53
157491,"Glyph of Prayer of Mending",25,"",20
149595,"Glyph of Dash",25,"",36
144896,"Glyph of Healing Touch",25,"",35
49500,"Glyph of Rebirth",25,"",31
39999,"Cerulean Spellthread",90,"",20
22222,"Pearlescent Spellthread",90,"",20
55693,"Potion of Mogu Power",90,"",4496
12000,"Fool's Cap",88,"",2654
689599,"Flask of Winter's Bite",90,"",1013
1449298,"Greater Tiger Fang Inscription",90,"",86
899590,"Flask of the Earth",90,"",529
11999,"Rain Poppy",85,"",1579
49499,"Potion of the Mountains",90,"",1072
1499998,"Greater Ox Horn Inscription",90,"",80
4329996,"Living Steel",88,"",946
809688,"Trillium Bar",90,"",2933
119999,"Ghost Iron Bar",86,"",2989
4425200,"Primal Diamond",90,"",921
717000,"Wild Jade",90,"",157
999997,"Vermilion Onyx",90,"",192
689999,"Imperial Amethyst",90,"",249
30000,"Roguestone",87,"",2353
699995,"Primordial Ruby",90,"",379
59997,"Pandarian Garnet",87,"",2097
178789,"Tiger Opal",87,"",919
179999,"River's Heart",90,"",74
10000,"Lapis Lazuli",87,"",1240
750000,"Sun's Radiance",90,"",48
86399,"Sunstone",87,"",813
55498,"Alexandrite",87,"",2346
1261482,"Great Pandaren Banquet",90,"",359
1291987,"100 Year Soy Sauce",85,"",412
79998,"Jewel Danio",87,"",1834
88800,"Raw Tiger Steak",85,"",1310
79995,"Pink Turnip",85,"",852
389396,"Black Pepper Ribs and Shrimp",90,"",1957
1309900,"Black Pepper",85,"",360
117392,"Giant Mantis Shrimp",87,"",2455
174895,"Mushan Ribs",85,"",1624
33770,"Green Cabbage",85,"",10397
399995,"Chun Tian Spring Rolls",90,"",674
1949922,"Rice Flour",85,"",49
200000,"Redbelly Mandarin",87,"",1477
41498,"Red Blossom Leek",85,"",255
441369,"Mogu Fish Stew",90,"",5632
104998,"Emperor Salmon",87,"",4546
242423,"Raw Crocolisk Belly",85,"",1740
48500,"Mogu Pumpkin",85,"",4433
32299,"Steamed Crab Surprise",90,"",194
399689,"Sea Mist Rice Noodles",90,"",3059
136074,"Tiger Gourami",87,"",2835
74900,"Raw Turtle Meat",85,"",1905
37495,"Scallions",85,"",6130
27359,"Mad Brewer's Breakfast",90,"",18
899899,"Pandaren Banquet",90,"",867
89999,"Raw Crab Meat",85,"",671
19795,"White Turnip",85,"",5766
429999993,"Vial of the Sands",85,"",9
2047398,"Truegold",85,"",78
57887,"Pyrium Bar",85,"",797
24995,"Volatile Fire",83,"",2548
39999,"Volatile Air",83,"",4822
59798,"Volatile Water",83,"",2496
2499997,"Flask of the Winds",85,"",43
1449999,"Flask of Titanic Strength",85,"",258
878672,"Deepstone Oil",81,"",533
29989999,"Illusionary Bag",83,"",30
79896,"Bolt of Embersilk Cloth",81,"",755
28999,"Volatile Life",83,"",7558
9999,"Volatile Earth",83,"",6510
599995,"Chaos Orb",85,"",348
3249599,"Embersilk Bag",83,"",430
90000,"Hypnotic Dust",81,"",3329
58000,"Netherweave Bag",63,"",332
12200,"Bolt of Netherweave",60,"",2199
6900,"Rune Thread",50,"",815
1499999,"Frostweave Bag",80,"",118
337497,"Bolt of Imbued Frostweave",75,"",538
89990,"Eternium Thread",70,"",246
228800,"Moonshroud",80,"",95
679999,"Ebonweave",80,"",29
149993,"Mysterious Fortune Card",85,"",793
25000,"Blackfallow Ink",81,"",171
